,Open,High,Low,Close,Volume,ATR,MA20,MA60,High_20,RSI,Entry_Status,Score,Stop_Loss,Take_Profit,Fib_0.236,Fib_0.382,Fib_0.500,Fib_0.618,Fib_0.786
2337.TW,170.0,170.0,145.0,160.0,70508399.0,12.0,113.10999984741211,79.15666700998942,157.5,77.9648124549812,,1.0213079459220826,146.0,170.0,162.802,158.349,154.75,151.151,146.027
6515.TW,7480.0,7930.0,7440.0,7930.0,441900.0,465.0,5637.25,4202.916666666667,7535.0,82.70663857225142,,0.8867849707544362,7000.0,7930.0,7730.58,7607.21,7507.5,7407.79,7265.83
6187.TWO,819.0,819.0,787.0,819.0,7274340.0,55.642857142857146,593.825,445.2416666666667,763.0,77.90816791571241,,0.8394504856912912,707.7142857142857,819.0,794.22,778.89,766.5,754.11,736.47
4919.TW,109.0,109.0,102.0,109.0,36267851.0,7.192858014787946,81.02499980926514,64.1433334350586,99.4000015258789,79.1039612774784,,0.6993192302728728,94.61428397042411,109.0,105.08240036010743,102.65880058288575,100.70000076293945,98.74120094299316,95.95240119934081
4991.TWO,415.5,427.0,393.5,427.0,19701054.0,34.285714285714285,336.275,258.42704849243165,392.0,72.66655640182523,,0.652303822262263,358.42857142857144,427.0,394.196,373.902,357.5,341.098,317.746
3189.TW,388.5,388.5,356.0,380.0,9717692.0,29.071428571428573,312.425,230.20041732788087,398.0,73.32666607778697,,0.6507354956648728,341.14285714285717,398.0,384.076,375.462,368.5,361.538,351.626
3037.TW,577.0,577.0,533.0,554.0,9015666.0,40.464285714285715,473.875,344.1,594.0,66.90903446784179,,0.6099970938680614,514.7857142857143,594.0,572.996,560.002,549.5,538.998,524.046
3260.TWO,516.0,516.0,457.5,457.5,18993955.0,31.410136860903076,332.58567123413087,291.02449595133464,508.0,69.53529611965966,,0.5720326170636287,453.17972627819387,516.0,502.194,493.653,486.75,479.847,470.019
2489.TW,47.150001525878906,47.150001525878906,38.650001525878906,38.650001525878906,144905761.0,4.2464286259242465,38.557500171661374,25.007499996821085,47.900001525878906,56.512312003659986,,0.5455364003115879,42.35714367457798,47.900001525878906,45.8468013458252,44.57660123443603,43.55000114440918,42.523401054382326,41.0618009262085
3363.TWO,704.0,734.0,682.0,734.0,10912678.0,54.357142857142854,595.6,480.43160654703775,695.0,71.70520884796451,,0.5277929053740058,625.2857142857143,734.0,711.58,697.71,686.5,675.29,659.33
2367.TW,74.5,76.5,71.5,73.0,97939158.0,5.971429007393973,67.88500003814697,47.81999998092651,80.69999694824219,63.54951487558946,,0.5265579261630444,67.98571014404297,80.69999694824219,78.59959838867188,77.30019927978516,76.25,75.19980072021484,73.70460174560547
3036.TW,251.0,256.5,247.0,254.0,18231957.0,12.428571428571429,213.275,170.68333333333334,257.0,82.77143658753457,,0.4881359242261498,232.14285714285714,257.0,254.404,252.798,251.5,250.202,248.35399999999998
2360.TW,1590.0,1650.0,1525.0,1585.0,5043495.0,132.85714285714286,1394.0,1071.4333333333334,1670.0,67.3349822288528,,0.47932675854773965,1402.857142857143,1670.0,1623.98,1595.51,1572.5,1549.49,1516.73
8046.TW,563.0,571.0,525.0,541.0,20107190.0,45.357142857142854,499.5,369.39166666666665,603.0,61.271096798144164,,0.4645701265594333,513.0,603.0,557.216,528.892,506.0,483.108,450.51599999999996
6223.TWO,3665.0,3910.0,3650.0,3860.0,2412028.0,223.21428571428572,3127.75,2646.1666666666665,3870.0,72.36014723185392,,0.45871386282043214,3463.5714285714284,3910.0,3846.28,3806.86,3775.0,3743.14,3697.78
3693.TWO,618.0,618.0,530.0,535.0,10022630.0,43.5,441.15,369.09166666666664,583.0,65.33271902576985,,0.4495044139892981,531.0,618.0,594.872,580.564,569.0,557.436,540.972
